Case_Number,Vehicle No.,Body Type,Speed Exceed,Driver Safety,Pedestrian Crash,Hit/Run
360011,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Too Fast for Conditions","Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",Traveling Too Fast for Conditions or Road Configuration,No
360013,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360014,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")","Yes, Specifics Unknown","Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Over the lane line on left side of travel lane,No
360016,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Specifics Unknown",Improper or Erratic Lane Changing,Traveling Too Fast for Conditions or Road Configuration,No
360020,1,Snowmobile,No,Failure to Yield Right-of-Way,Other critical precrash event (specify:),No
360021,1,5-door/4-door hatchback,No,Improper Lane Usage,Off the edge of the road on the right side,No
360025,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Starting or Backing Improperly,Pedestrian in road,No
360027,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Driving Wrong Way on One-Way Trafficway,Other critical precrash event (specify:),No
360029,1,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",No,Failure to Yield Right-of-Way,Pedalcyclist or other non-motorist in road,No
360032,2,"4-door sedan, hardtop",No,Making Other Improper Turn,Making a U-Turn,No
360036,1,"4-door sedan, hardtop","Yes, Specifics Unknown","Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",Traveling Too Fast for Conditions or Road Configuration,No
360037,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Specifics Unknown","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
360040,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360044,1,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",No,Making Other Improper Turn,Pedestrian in road,No
360045,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360049,1,"Van-Based Bus GVWR greater than 10,000 lbs.",No,Failure to Yield Right-of-Way,Pedestrian in road,Yes
360050,1,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360051,2,"2-door sedan,hardtop,coupe",No,Failure to Yield Right-of-Way,Turning Left,No
360057,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions","Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",Traveling Too Fast for Conditions or Road Configuration,No
360058,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Turning Left,No
360059,1,Light Pickup,"Yes, Specifics Unknown",Improper Lane Usage,Traveling Too Fast for Conditions or Road Configuration,No
360060,1,"4-door sedan, hardtop",No,Making Other Improper Turn,Other critical precrash event (specify:),No
360061,1,Unknown body type,No,Police or Law Enforcement Officer,From opposite direction  over left lane line,No
360061,2,Station Wagon (excluding van and truck based),No,Failure to Yield Right-of-Way,Turning Left,No
360062,1,Station Wagon (excluding van and truck based),No,Failure to Yield Right-of-Way,Pedestrian in road,No
360067,2,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",No Driver Present/Unknown if Driver Present,Leaving Vehicle Unattended with Engine Running. Leaving Vehicle Unattended in Roadway,Traveling in same direction with higher speed,No
360074,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
360075,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Vehicle in Road,Other vehicle stopped,No
360077,1,Other or Unknown automobile type,No,Police or Law Enforcement Officer,Encroachment by other vehicle - details unknown,No
360078,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on right side of travel lane,No
360079,1,"4-door sedan, hardtop",No,Intentional Illegal Driving Off the Roadway,Crossing over (passing through) Junction,No
360082,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
360084,1,"4-door sedan, hardtop",No,"Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",Over the lane line on left side of travel lane,No
360085,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",End departure,No
360086,1,Station Wagon (excluding van and truck based),No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360087,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Object approaching road,No
360088,1,"4-door sedan, hardtop","Yes, Specifics Unknown","Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",Traveling Too Fast for Conditions or Road Configuration,No
360090,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Operator Inexperience,Pedestrian in road,No
360091,1,"Van-Based Bus GVWR greater than 10,000 lbs.",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360095,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Failure to Yield Right-of-Way,Pedalcyclist or other non-motorist in road,Yes
360098,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Failure to Observe Warnings or Instructions on Vehicles Displaying Them,Off the edge of the road on the right side,No
360099,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
360101,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360103,1,"4-door sedan, hardtop",No,Following Improperly,Traveling in same direction with lower steady speed,No
360104,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360105,1,Farm equipment other than trucks,No,Overcorrecting,Off the edge of the road on the right side,No
360106,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360107,1,"4-door sedan, hardtop",No,"Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",Over the lane line on left side of travel lane,No
360108,2,"4-door sedan, hardtop",No,Police or Law Enforcement Officer,Traveling in same direction with higher speed,No
360111,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Specifics Unknown",Overcorrecting,Traveling Too Fast for Conditions or Road Configuration,No
360112,1,Station Wagon (excluding van and truck based),No,Failure to Yield Right-of-Way,Turning Left,No
360113,2,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",No,Emergency Medical Service Personnel,Traveling in same direction with higher speed,No
360114,1,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360115,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",End departure,No
360117,2,Light Pickup,No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
360118,1,"4-door sedan, hardtop","Yes, Specifics Unknown","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
360120,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360125,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360127,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Debris or Objects in Road,Traveling in same direction with higher speed,No
360128,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360129,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Non-Traffic Violation Charged - manslaughter, homicide or other assault committed without malice.",Unknown cause of control loss,No
360130,1,Two Wheel Motorcycle (excluding motor scooters),No,Driver Has a Driving Record or Driver`s License From More Than One State,Unknown cause of control loss,No
360132,1,"2-door sedan,hardtop,coupe","Yes, Specifics Unknown",Overcorrecting,Traveling Too Fast for Conditions or Road Configuration,No
360134,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
360141,1,Light Pickup,"Yes, Specifics Unknown",Improper or Erratic Lane Changing,Off the edge of the road on the right side,No
360142,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Specifics Unknown","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
360147,1,"4-door sedan, hardtop","Yes, Specifics Unknown","Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",Off the edge of the road on the right side,No
360149,2,Station Wagon (excluding van and truck based),"Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Unknown,No
360153,1,"4-door sedan, hardtop",No,"Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",From opposite direction  over left lane line,No
360153,2,"4-door sedan, hardtop",No,"Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",Other cause of control loss (specify:),No
360159,4,"4-door sedan, hardtop",No,Police or Law Enforcement Officer,Encroachment by other vehicle - details unknown,No
360160,1,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360163,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper or Erratic Lane Changing,Over the lane line on left side of travel lane,No
360165,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Specifics Unknown",Aggressive Driving / Road Rage,Other cause of control loss (specify:),No
360166,1,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",No,Starting or Backing Improperly,Pedestrian in road,No
360168,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Aggressive Driving / Road Rage,Over the lane line on right side of travel lane,No
360175,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360179,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Pedestrian in road,Yes
360182,1,"Unknown light vehicle type (automobile,utility vehicle, van, or light truck)",No,Failure to Yield Right-of-Way,Pedalcyclist or other non-motorist in road,No
360185,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper or Erratic Lane Changing,Off the edge of the road on the left side,No
360188,1,"Step van (GVWR greater than 10,000 lbs.)",No,Careless Driving,Pedestrian in road,No
360190,1,"Convertible(excludes sun-roof,t-bar)",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360192,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Over the lane line on right side of travel lane,No
360193,1,"4-door sedan, hardtop","Yes, Specifics Unknown","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Other vehicle stopped,No
360194,2,"4-door sedan, hardtop",No,Improper or Erratic Lane Changing,Over the lane line on left side of travel lane,No
360196,1,"Single-unit straight truck or Cab-Chassis (GVWR range 19,501 to 26,000 lbs.)",No,Careless Driving,Traveling in same direction while decelerating,No
360197,1,Two Wheel Motorcycle (excluding motor scooters),No,Vehicle in Road,"From crossing street, turning into opposite direction",No
360198,1,Light Pickup,No,Improper Lane Usage,Off the edge of the road on the left side,No
360199,2,"4-door sedan, hardtop",No,Improper or Erratic Lane Changing,From opposite direction  over right lane line,No
360201,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Careless Driving,Pedestrian in road,No
360203,1,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",No,Failure to Yield Right-of-Way,Pedalcyclist or other non-motorist in road,No
360208,1,"Single-unit straight truck or Cab-Chassis (GVWR range 19,501 to 26,000 lbs.)",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360215,1,"4-door sedan, hardtop","Yes, Specifics Unknown","Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",Traveling Too Fast for Conditions or Road Configuration,No
360220,1,"2-door sedan,hardtop,coupe","Yes, Specifics Unknown",Passing on Right Side,Over the lane line on right side of travel lane,No
360221,1,Light Pickup,No,Failure to Yield Right-of-Way,Pedestrian in road,No
360223,1,"4-door sedan, hardtop","Yes, Specifics Unknown",Driver has not complied with Learner`s Permit or Intermediate Driver License Restrictions (GDL Restrictions),End departure,No
360225,1,5-door/4-door hatchback,No,Failure to Yield Right-of-Way,Pedestrian in road,No
360226,1,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",No,Starting or Backing Improperly,Backing,No
360228,1,5-door/4-door hatchback,No,Failure to Yield Right-of-Way,Over the lane line on left side of travel lane,No
360229,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360230,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360231,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Starting or Backing Improperly,Pedestrian in road,No
360232,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper or Erratic Lane Changing,Over the lane line on right side of travel lane,No
360234,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Failure to Yield Right-of-Way,Pedestrian in road,Yes
360236,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360237,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Police Pursuing this Driver or Police Officer in Pursuit,Off the edge of the road on the left side,No
360240,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Specifics Unknown",Aggressive Driving / Road Rage,Traveling Too Fast for Conditions or Road Configuration,No
360242,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
360243,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Specifics Unknown",Improper or Erratic Lane Changing,Traveling Too Fast for Conditions or Road Configuration,No
360247,1,Light Pickup,"Yes, Specifics Unknown",Improper Lane Usage,Off the edge of the road on the left side,No
360250,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Off the edge of the road on the left side,No
360253,1,Light Pickup,No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
360255,1,Light Pickup,No,Failure to Yield Right-of-Way,Pedestrian in road,No
360258,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360261,1,Light Pickup,No,Improper Lane Usage,Over the lane line on right side of travel lane,No
360263,1,"2-door sedan,hardtop,coupe","Yes, Specifics Unknown","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",End departure,No
360264,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Other critical precrash event (specify:),No
360266,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Specifics Unknown","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Off the edge of the road on the right side,No
360271,1,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",No,Improper Lane Usage,Off the edge of the road on the right side,No
360277,1,"4-door sedan, hardtop",No,Making Other Improper Turn,Off the edge of the road on the right side,No
360278,1,"2-door sedan,hardtop,coupe","Yes, Specifics Unknown",Improper Lane Usage,Off the edge of the road on the left side,No
360279,1,Light Pickup,"Yes, Specifics Unknown",Improper or Erratic Lane Changing,Off the edge of the road on the left side,No
360279,2,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Stopped in Roadway (Vehicle Not Abandoned),From opposite direction  over left lane line,No
360280,2,"4-door sedan, hardtop",No,Improper or Erratic Lane Changing,From adjacent lane (same direction) over left lane line,No
360281,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
360282,1,"4-door sedan, hardtop",No,Improper or Erratic Lane Changing,Over the lane line on left side of travel lane,No
360283,2,Two Wheel Motorcycle (excluding motor scooters),No,Operator Inexperience,Other critical precrash event (specify:),No
360285,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Specifics Unknown",Improper Lane Usage,Over the lane line on right side of travel lane,No
360286,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
360287,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360289,1,"4-door sedan, hardtop",No,Making Other Improper Turn,Making a U-Turn,No
360291,1,"4-door sedan, hardtop","Yes, Specifics Unknown","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",End departure,No
360292,1,Light Pickup,No,Careless Driving,Pedestrian in road,No
360293,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360294,1,Two Wheel Motorcycle (excluding motor scooters),No,Operator Inexperience,Unknown cause of control loss,No
360298,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Specifics Unknown",Aggressive Driving / Road Rage,Crossing over (passing through) Junction,No
360300,1,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",No,Following Improperly,Traveling in same direction while decelerating,No
360300,3,Two Wheel Motorcycle (excluding motor scooters),No,Following Improperly,Traveling in same direction with lower steady speed,No
360301,1,Two Wheel Motorcycle (excluding motor scooters),No,Improper Lane Usage,Over the lane line on right side of travel lane,No
360302,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper or Erratic Lane Changing,Off the edge of the road on the right side,Yes
360310,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Turning Left,No
360311,1,"4-door sedan, hardtop","Yes, Specifics Unknown",Making Other Improper Turn,Making a U-Turn,No
360311,2,Two Wheel Motorcycle (excluding motor scooters),No,Operator Inexperience,Other critical precrash event (specify:),No
360314,1,"4-door sedan, hardtop",No,Careless Driving,Pedestrian in road,Yes
360315,1,"4-door sedan, hardtop","Yes, Specifics Unknown",Careless Driving,Unknown cause of control loss,No
360319,5,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
360321,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
360321,2,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
360323,2,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Making a U-Turn,No
360324,2,Two Wheel Motorcycle (excluding motor scooters),"Yes, Exceeded Speed Limit",Improper Lane Usage,Traveling in same direction with lower steady speed,No
360325,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Turning Left,No
360326,1,Two Wheel Motorcycle (excluding motor scooters),No,Passing on Right Side,Crossing over (passing through) Junction,No
360327,1,Station Wagon (excluding van and truck based),No,Driver Has Not Complied With Physical or Other Imposed Restrictions (not including GDL Restrictions),Off the edge of the road on the right side,No
360328,1,"4-door sedan, hardtop",No,Improper or Erratic Lane Changing,Over the lane line on left side of travel lane,No
360328,3,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Driver Has a Driving Record or Driver`s License From More Than One State,From opposite direction  over left lane line,No
360329,1,Two Wheel Motorcycle (excluding motor scooters),No,Live Animals in Road,Animal in road,No
360330,1,Two Wheel Motorcycle (excluding motor scooters),No,Aggressive Driving / Road Rage,Other critical precrash event (specify:),No
360331,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Turning Left,No
360335,1,Light Pickup,No,Following Improperly,Over the lane line on left side of travel lane,No
360338,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360340,2,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Making a U-Turn,No
360343,1,Two Wheel Motorcycle (excluding motor scooters),No,Failure to Yield Right-of-Way,Other critical precrash event (specify:),No
360344,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Specifics Unknown",Improper Lane Usage,Over the lane line on left side of travel lane,No
360349,1,Two Wheel Motorcycle (excluding motor scooters),No,Failure to Yield Right-of-Way,From opposite direction  over left lane line,No
360350,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
360351,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360352,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Failure to Yield Right-of-Way,Pedestrian in road,No
360354,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Specifics Unknown",Improper Lane Usage,Off the edge of the road on the left side,No
360355,1,Two Wheel Motorcycle (excluding motor scooters),No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
360356,2,Light Pickup,No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
360360,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Following Improperly,Traveling in same direction while decelerating,No
360362,1,ATV/ATC [All-Terrain Cycle],No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360363,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Failure to Yield Right-of-Way,Turning Left,No
360364,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
360365,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
360367,1,Light Pickup,No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
360368,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws","From crossing street, turning into same direction",No
360370,1,5-door/4-door hatchback,No,Failure to Yield Right-of-Way,Pedestrian in road,No
360372,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Improper or Erratic Lane Changing,Over the lane line on left side of travel lane,No
360375,2,Two Wheel Motorcycle (excluding motor scooters),No,Improper Lane Usage,From adjacent lane (same direction) over right lane line,No
360377,1,"Van-Based Bus GVWR greater than 10,000 lbs.",No,Failure to Yield Right-of-Way,Other critical precrash event (specify:),No
360379,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Turning Left,No
360381,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
360385,1,5-door/4-door hatchback,No,Improper or Erratic Lane Changing,Off the edge of the road on the right side,No
360387,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360388,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360389,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Too Fast for Conditions",Improper or Erratic Lane Changing,Off the edge of the road on the right side,No
360391,1,Unknown body type,No,Police or Law Enforcement Officer,From opposite direction  over left lane line,No
360391,2,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Improper or Erratic Lane Changing,Over the lane line on left side of travel lane,No
360393,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Improper Lane Usage,Over the lane line on left side of travel lane,No
360395,2,5-door/4-door hatchback,No,Improper or Erratic Lane Changing,Over the lane line on left side of travel lane,No
360401,1,"2-door sedan,hardtop,coupe","Yes, Exceeded Speed Limit",Improper Lane Usage,Over the lane line on left side of travel lane,No
360403,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
360405,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
360409,1,"4-door sedan, hardtop",No,Careless Driving,Over the lane line on right side of travel lane,No
360409,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driver Has a Driving Record or Driver`s License From More Than One State,From adjacent lane (same direction) over right lane line,No
360410,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Pedestrian in road,No
360411,1,"4-door sedan, hardtop",No,Improper Lane Usage,Making a U-Turn,No
360413,2,"4-door sedan, hardtop",No,Improper Lane Usage,Turning Left,No
360415,1,"4-door sedan, hardtop",No,Improper Lane Usage,Off the edge of the road on the left side,No
360419,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Unknown travel direction,No
360423,1,"4-door sedan, hardtop","Yes, Specifics Unknown","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Pedestrian in road,Yes
360424,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)","Yes, Specifics Unknown","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
360427,1,Two Wheel Motorcycle (excluding motor scooters),No,Improper Lane Usage,Off the edge of the road on the left side,No
360429,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Too Fast for Conditions",Improper Lane Usage,Off the edge of the road on the right side,No
360432,1,"4-door sedan, hardtop",No,Improper or Erratic Lane Changing,Off the edge of the road on the left side,No
